Realm Name	Export Time	PMktPrice Date	Reserved	Item ID	Item Name	AH MarketPrice Coppers	AH Quantity	AH MarketPrice	AH MinimumPrice	14-day Median Market Price	Median Market Price StdDev	14-day Todays PMktPrice	PMktPrice StdDev	Daily Price Change	Avg Daily Posted	Avg Estimated Daily Sold	Estimated Demand
US - Khaz'goroth / Alliance	05/11/2018 02:08:05	05/11/2018	N/A	35	Bent Staff	17362390	1	1736.239	1736.239	1367.22	160.55	1481.34	156.97	0.0098	3.57	0	0
US - Khaz'goroth / Alliance	05/11/2018 02:08:05	05/11/2018	N/A	37	Worn Axe	0	0	0	0	45673.45	7759.57	58303.5	2197.03	0.0406	0.57	0	0
US - Khaz'goroth / Alliance	05/11/2018 02:08:05	05/11/2018	N/A	38	Recruit's Shirt	26566248	5	2656.6248	2656.6248	3121	1876.25	669.75	1429.51	-0.1115	6.14	0.36	0.0586
US - Khaz'goroth / Alliance	05/11/2018 02:08:05	05/11/2018	N/A	39	Recruit's Pants	45174296	1	4517.4296	4517.4296	4271.38	108.37	4479.18	38.96	0.0058	1.57	0	0
US - Khaz'goroth / Alliance	05/11/2018 02:08:05	05/11/2018	N/A	40	Recruit's Boots	19980000	1	1998	1998	1998.5	2440.79	1416.75	1300.6	-0.1111	2.5	0	0
US - Khaz'goroth / Alliance	05/11/2018 02:08:05	05/11/2018	N/A	43	Squire's Boots	11919999	2	1191.9999	1191.9999	1193	366.91	1432.66	181.06	0.0711	2	0	0
US - Khaz'goroth / Alliance	05/11/2018 02:08:05	05/11/2018	N/A	44	Squire's Pants	112032946	1	11203.2946	11203.2946	8795	1067.34	10177.9	594.45	0.0227	1.36	0.29	0.2132
US - Khaz'goroth / Alliance	05/11/2018 02:08:05	05/11/2018	N/A	45	Squire's Shirt	4964992	5	496.4992	496.4992	441.52	237.74	747.3	180.15	0.0922	6.86	0.07	0.0102
US - Khaz'goroth / Alliance	05/11/2018 02:08:05	05/11/2018	N/A	47	Footpad's Shoes	0	0	0	0	1267.51	0	1267.51	0	0	0.43	0	0
US - Khaz'goroth / Alliance	05/11/2018 02:08:05	05/11/2018	N/A	48	Footpad's Pants	0	0	0	0	300	3266.28	167.06	2871.92	-0.1449	0.79	0	0
US - Khaz'goroth / Alliance	05/11/2018 02:08:05	05/11/2018	N/A	49	Footpad's Shirt	1999990000	1	199999	199999	315782.22	73499.26	375974.37	57225.88	0.0367	1	0	0
US - Khaz'goroth / Alliance	05/11/2018 02:08:05	05/11/2018	N/A	51	Neophyte's Boots	5000000	1	500	500	1145.87	895.76	792.93	878.17	-0.0543	2.21	0	0
US - Khaz'goroth / Alliance	05/11/2018 02:08:05	05/11/2018	N/A	52	Neophyte's Pants	4321865	1	432.1865	432.1865	400.71	18.88	392.41	17.89	-0.0043	2.71	0	0
US - Khaz'goroth / Alliance	05/11/2018 02:08:05	05/11/2018	N/A	53	Neophyte's Shirt	3671346	2	367.1346	367.1346	299.33	416.33	789.25	354.97	0.1298	4.93	0.29	0.0588
US - Khaz'goroth / Alliance	05/11/2018 02:08:05	05/11/2018	N/A	55	Apprentice's Boots	133249999	2	13324.9999	13324.9999	13326	7862.41	17772	3444.69	0.1571	3.21	0	0
US - Khaz'goroth / Alliance	05/11/2018 02:08:05	05/11/2018	N/A	56	Apprentice's Robe	66619997	4	6661.9997	6661.9997	6663	3280.68	8618.13	1438.08	0.1186	4	0	0
US - Khaz'goroth / Alliance	05/11/2018 02:08:05	05/11/2018	N/A	57	Acolyte's Robe	29123678	1	2912.3678	2912.3678	2912.37	0.79	2911.27	0.58	0	1.36	0	0
US - Khaz'goroth / Alliance	05/11/2018 02:08:05	05/11/2018	N/A	59	Acolyte's Shoes	0	0	0	0	2081.49	713.84	2533.27	386.04	0.0693	1.57	0	0
US - Khaz'goroth / Alliance	05/11/2018 02:08:05	05/11/2018	N/A	117	Tough Jerky	147	12	0.0147	0.0147	0.01	0	0.01	0	0.0333	11.86	0	0
US - Khaz'goroth / Alliance	05/11/2018 02:08:05	05/11/2018	N/A	118	Minor Healing Potion	5000	75	0.5	0.49	0.42	1.9	2.29	1.73	0.1808	53	7.07	0.1334
US - Khaz'goroth / Alliance	05/11/2018 02:08:05	05/11/2018	N/A	120	Thug Pants	0	0	0	0	14305.44	442.93	14609.31	173.36	0.0057	0.57	0	0
US - Khaz'goroth / Alliance	05/11/2018 02:08:05	05/11/2018	N/A	121	Thug Boots	182418961	1	18241.8961	18241.8961	11742.91	3474.83	17402.33	1931.12	0.0459	0.79	0	0
US - Khaz'goroth / Alliance	05/11/2018 02:08:05	05/11/2018	N/A	127	Trapper's Shirt	0	0	0	0	519644.94	118582.28	547978.11	74570.26	0.0356	1.21	0	0
US - Khaz'goroth / Alliance	05/11/2018 02:08:05	05/11/2018	N/A	129	Rugged Trapper's Boots	81499999	1	8149.9999	8149.9999	8375	3267.18	5738.58	2587.55	-0.054	3.14	0.07	0.0223
US - Khaz'goroth / Alliance	05/11/2018 02:08:05	05/11/2018	N/A	139	Brawler's Pants	78196269	1	7819.6269	7819.6269	7830.87	111.33	7709.17	100.39	-0.002	1.57	0	0
US - Khaz'goroth / Alliance	05/11/2018 02:08:05	05/11/2018	N/A	140	Brawler's Boots	111929705	1	11192.9705	11192.9705	10944.98	317.6	10973.42	245.56	-0.0023	1.14	0	0
US - Khaz'goroth / Alliance	05/11/2018 02:08:05	05/11/2018	N/A	159	Refreshing Spring Water	0	0	0	0	0.57	36.44	0.02	32.41	-0.2258	7	3.21	0.4586
US - Khaz'goroth / Alliance	05/11/2018 02:08:05	05/11/2018	N/A	238	Cured Leather Boots	0	0	0	0	1659.08	178.14	1658.43	185.28	0.0039	0.64	0	0
US - Khaz'goroth / Alliance	05/11/2018 02:08:05	05/11/2018	N/A	239	Cured Leather Gloves	0	0	0	0	927.66	16.93	906.56	14.59	-0.0028	0.64	0	0
US - Khaz'goroth / Alliance	05/11/2018 02:08:05	05/11/2018	N/A	285	Scalemail Vest	0	0	0	0	35627.64	0	35627.64	0	0	0.14	0	0
US - Khaz'goroth / Alliance	05/11/2018 02:08:05	05/11/2018	N/A	286	Scalemail Pants	0	0	0	0	10505.49	0	10505.49	0	0	0.14	0	0
US - Khaz'goroth / Alliance	05/11/2018 02:08:05	05/11/2018	N/A	414	Dalaran Sharp	0	0	0	0	0.12	0.05	0.04	0.01	-0.0878	1.71	0	0
US - Khaz'goroth / Alliance	05/11/2018 02:08:05	05/11/2018	N/A	422	Dwarven Mild	8371	2	0.8371	0.8371	0.82	0.02	0.78	0.01	-0.0043	6.5	0	0
US - Khaz'goroth / Alliance	05/11/2018 02:08:05	05/11/2018	N/A	647	Destiny	199999900	2	19999.99	19999.99	20870.09	5055.8	25169.71	2771.52	0.05	5.57	0.57	0.1023
US - Khaz'goroth / Alliance	05/11/2018 02:08:05	05/11/2018	N/A	720	Brawler Gloves	78805603	2	7880.5603	7880.5603	4083.23	1380.57	5873.2	1002.6	0.0623	1.86	0.07	0.0376
US - Khaz'goroth / Alliance	05/11/2018 02:08:05	05/11/2018	N/A	723	Goretusk Liver	63161	10	6.3161	2	1	2.79	4.86	2.21	0.1873	12.5	1.5	0.12
US - Khaz'goroth / Alliance	05/11/2018 02:08:05	05/11/2018	N/A	727	Notched Shortsword	50000	3	5	5	5.53	2.56	6.07	2.52	-0.0064	5.79	0.36	0.0622
US - Khaz'goroth / Alliance	05/11/2018 02:08:05	05/11/2018	N/A	733	Westfall Stew	6350000	5	635	635	582.68	102.82	577.43	105.44	0.0038	3.64	0	0
US - Khaz'goroth / Alliance	05/11/2018 02:08:05	05/11/2018	N/A	754	Shortsword of Vengeance	3429372	6	342.9372	342.9372	459.23	98.16	327.68	71.53	-0.0397	7.43	0.21	0.0283
